Artista,Nombre_Agencia_o_Manager,Correo,Fuente_URL,Confianza,Notas
Roster no publicado,AMM Globality (Madrid ES),ammglobalitymanager@icloud.com,https://www.ammglobalitylabel.com/,Alta,Sello y management fundado 2022
Roster en CVM+ (Colombia),Be Fun (Colombia),befunoficial@gmail.com,https://www.befunoficial.com/,Media,Gmail; booking + inversion + management
Cuatro Lobos / Aurora Alquinta,Arpegiados Musica (Chile),contacto@arpegiados.cl,https://www.arpegiados.cl/,Media,Indie/folk; booking y management
Banda Estrellas de Sinaloa / Banda Los Recoditos,Gold Entertainment Mexico,artistas@goldentertainmentmexico.com,https://www.goldentertainmentmexico.com/musica-regional-mexicano/,Media,Regional mexicano
Duki / Nicki Nicole / Lali,La Agencia Contrataciones (Argentina),info@laagencia.biz,https://laagencia.biz/,Media,Correo general
Roster indie (Arco / SUU),Crash Music (ES),info@crashmusic.es,https://crashmusic.es/servicio-booking-management-artistas,Media,Indie; booking y management
DJs (David Schaffer / Thouns),Metanoia Booking (Chile),contacto@metanoiabooking.com,https://www.metanoiabooking.com/,Media,Electronico; relevancia baja
Darell / Lil Naay / Ronny GTA / Mr. Plata,First Class Booking Agency (ES),firstclassbookingagencyes@gmail.com,https://firstclassagency.es/,Alta,Booking urbano; segundo correo firstclassbooking@outlook.es
DJs urbanos (Cohelo / Inmita Palmera),Volume Agency (ES),info@volumeagency.es,https://volumeagency.es/,Media,Tambien juanjo@volumeagency.es
Roster musicos/shows Bogota,Voiz Agencia (Colombia),contacto@voiz.com.co,https://voiz.com.co/artistas-en-bogota/,Media,Show reggaeton Bogota; enfoque eventos
Roster DJs Latam,Art Gallery Booking & Management (Chile),contacto@artgallery.cl,https://artgallery.cl/contacto,Media,DJs y artistas
Meneo / Los Esquizitos / Sonido Changorama,Trocadero Music (Mexico),contacto@trocaderomusic.com,https://cargocollective.com/trocaderomusic/Booking-and-Management,Media,Booking y management indie/latam
Alejandro Fernandez / Zoe / Ha*Ash / Yuridia,OCESA Seitrack (Mexico),ventas@seitrack.com.mx,https://www.seitrack.mx/,Media,Agencia artistica; correo de ventas
Antidoping / Alika / Lion Reggae,Underground Mexico,contacto@undermx.com,https://undermx.com/,Media,Management y booking independiente
Javi Guzman / Jayxme / Enygma,El Cartel Urbano (ES),info@elcartelurbano.com,https://www.elcartelurbano.com/,Media,Agencia urbana / DJs
Roster no publicado,El Colectivo Agencia (Colombia),produccionelcolectivoagencia@gmail.com,https://www.elcolectivoagencia.com/,Media,Gmail; musica en vivo para eventos
Karol G / Peso Pluma / Feid (catalogo),MA Talent Agency (Mexico),cotizaciones@matalent.mx,https://matalent.mx/contratacion-de-artistas-para-eventos/contratar-artistas-latinos-2/,Media,Cotizaciones; distinta de M.A Management
Noa del Sol / Santiva / Bigel,Blanco y Negro Music (ES),booking@blancoynegro.com,https://www.blancoynegro.com/booking,Alta,Latin house; correo booking explicito
Katie James / Leonela / Sai Conde,Saman Music (Cali CO),andres@samanmusic.co,https://www.samanmusic.co/,Media,Salsa/tropical/indie; correo personal del fundador
Roster no publicado,Musica Creativa de Colombia,juan.correa@musicacreativadecolombia.com,https://www.musicacreativadecolombia.com/,Media,Booking y management; tambien andres.ruiz@musicacreativadecolombia.com
Los Cumbia Stars / Afrosound / Sonora Dinamita,Discos Fuentes Booking (Colombia),booking@discosfuentes.com,https://discosfuentes.com.co/artistas_booking/,Alta,Tropical/salsa; correo booking explicito
DJs Miami (open format),Cue Artist Agency (Miami),info@cueartistagency.com,https://www.cueartistagency.com/locations/miami-fl,Media,DJs; relevancia baja para urbano
Bad Bunny / Karol G / Maluma (catalogo),VIDMusic Group (Miami/PR),info@vidmusicgroup.com,https://www.vidmusicgroup.com/,Media,Talent management y booking
Al.lergiques al pol.len / Kris Tena / Salma,Montebello Agency (Barcelona-Madrid),ignasi@montebelloagency.com,https://montebelloagency.com/,Alta,Correo de booking explicito; indie/pop/urbano
Exsonvaldes / Sugarcrush / Serch,FEP Producciones (Madrid ES),fepproducciones@gmail.com,https://www.fepproducciones.com/,Media,Indie/pop; Gmail
Muyayo Rif / La Ganga Cale / Tabaiba,Musica y Mas (ES),info@musicaymas.es,https://www.musicaymas.es/booking/,Media,Mestizaje/latin fusion
